iter	Passed	Remaining
0	171	170856
1	174	87272
2	178	59289
3	183	45644
4	187	37260
5	191	31642
6	194	27631
7	199	24684
8	203	22388
9	207	20578
10	211	18992
11	214	17687
12	221	16802
13	225	15901
14	229	15081
15	233	14362
16	239	13850
17	248	13536
18	254	13144
19	260	12760
20	264	12323
21	267	11886
22	269	11466
23	273	11107
24	275	10730
25	277	10385
26	278	10048
27	280	9728
28	281	9429
29	282	9150
30	284	8899
31	287	8692
32	289	8475
33	290	8257
34	292	8055
35	293	7866
36	295	7682
37	296	7507
38	298	7344
39	299	7185
40	300	7034
41	302	6890
42	303	6754
43	306	6649
44	307	6523
45	308	6403
46	310	6296
47	312	6190
48	313	6087
49	315	5993
50	317	5902
51	318	5813
52	322	5765
53	324	5676
54	325	5591
55	326	5508
56	328	5429
57	329	5352
58	330	5278
59	332	5206
60	333	5135
61	335	5074
62	336	5010
63	339	4967
64	341	4905
65	342	4845
66	343	4788
67	345	4734
68	346	4679
69	348	4627
70	349	4574
71	350	4523
72	352	4473
73	353	4424
74	354	4376
75	357	4350
76	359	4306
77	360	4262
78	362	4227
79	365	4197
80	367	4169
81	369	4134
82	370	4093
83	372	4063
84	376	4056
85	379	4029
86	380	3996
87	382	3964
88	383	3930
89	385	3895
90	386	3862
91	388	3829
92	389	3799
93	390	3768
94	392	3737
95	395	3723
96	396	3694
97	398	3664
98	399	3636
99	401	3611
100	402	3583
101	404	3558
102	405	3532
103	406	3505
104	408	3479
105	409	3453
106	410	3428
107	413	3411
108	414	3390
109	416	3367
110	418	3352
111	420	3330
112	421	3307
113	422	3285
114	424	3263
115	425	3242
116	426	3218
117	427	3198
118	429	3177
119	431	3164
120	433	3146
121	434	3127
122	436	3111
123	437	3092
124	439	3073
125	440	3056
126	441	3036
127	443	3018
128	444	3003
129	446	2985
130	447	2968
131	450	2961
132	451	2945
133	453	2928
134	454	2912
135	455	2896
136	457	2880
137	459	2867
138	460	2852
139	461	2836
140	463	2821
141	463	2803
142	465	2788
143	466	2773
144	469	2766
145	470	2753
146	472	2742
147	474	2730
148	476	2719
149	477	2707
150	479	2695
151	481	2686
152	483	2674
153	484	2662
154	487	2657
155	489	2645
156	490	2634
157	492	2622
158	493	2611
159	495	2599
160	496	2586
161	497	2575
162	499	2565
163	501	2555
164	502	2545
165	505	2542
166	507	2531
167	508	2520
168	510	2510
169	512	2503
170	514	2495
171	516	2486
172	518	2476
173	520	2468
174	525	2477
175	527	2469
176	529	2461
177	530	2451
178	532	2441
179	533	2430
180	534	2420
181	536	2410
182	537	2399
183	538	2389
184	540	2379
185	543	2377
186	544	2369
187	546	2360
188	547	2351
189	549	2341
190	550	2332
191	552	2323
192	553	2313
193	554	2304
194	556	2297
195	557	2288
196	559	2279
197	561	2275
198	563	2267
199	564	2259
200	566	2252
201	568	2244
202	569	2235
203	570	2227
204	572	2219
205	573	2211
206	574	2202
207	576	2194
208	577	2186
209	580	2183
210	581	2176
211	583	2168
212	584	2160
213	586	2152
214	587	2145
215	588	2137
216	590	2129
217	591	2121
218	592	2113
219	594	2106
220	595	2098
221	598	2097
222	600	2090
223	601	2083
224	602	2076
225	604	2068
226	605	2061
227	606	2054
228	608	2047
229	609	2041
230	611	2034
231	612	2028
232	614	2021
233	616	2017
234	617	2011
235	619	2005
236	621	1999
237	622	1993
238	623	1986
239	625	1979
240	626	1973
241	627	1966
242	629	1960
243	630	1953
244	631	1947
245	633	1940
246	636	1939
247	637	1932
248	639	1928
249	640	1922
250	642	1916
251	643	1909
252	644	1903
253	646	1897
254	647	1891
255	648	1885
256	650	1879
257	651	1873
258	654	1871
259	655	1866
260	657	1861
261	658	1855
262	660	1850
263	661	1845
264	663	1839
265	664	1834
266	666	1829
267	667	1824
268	669	1818
269	670	1813
270	673	1810
271	674	1805
272	675	1800
273	677	1796
274	679	1791
275	680	1785
276	682	1780
277	683	1775
278	684	1769
279	686	1764
280	687	1759
281	689	1754
282	691	1751
283	692	1747
284	694	1743
285	696	1738
286	697	1733
287	699	1728
288	700	1724
289	702	1719
290	703	1714
291	704	1709
292	706	1704
293	708	1702
294	710	1697
295	711	1692
296	713	1688
297	714	1683
298	715	1678
299	717	1673
300	718	1668
301	720	1664
302	721	1659
303	723	1656
304	724	1651
305	728	1651
306	729	1647
307	731	1643
308	733	1639
309	734	1635
310	736	1631
311	737	1627
312	739	1622
313	740	1617
314	741	1613
315	743	1609
316	745	1606
317	747	1602
318	748	1598
319	752	1598
320	753	1594
321	755	1591
322	757	1586
323	758	1582
324	759	1578
325	761	1573
326	762	1569
327	765	1569
328	767	1564
329	768	1560
330	769	1556
331	771	1551
332	772	1547
333	774	1543
334	775	1539
335	776	1535
336	778	1531
337	779	1527
338	782	1525
339	783	1521
340	785	1517
341	786	1514
342	788	1510
343	789	1506
344	791	1503
345	793	1499
346	794	1495
347	795	1491
348	797	1486
349	798	1482
350	800	1479
351	802	1476
352	803	1472
353	804	1468
354	806	1465
355	807	1461
356	809	1457
357	810	1453
358	812	1449
359	813	1446
360	814	1442
361	816	1438
362	817	1435
363	819	1432
364	821	1428
365	823	1426
366	825	1423
367	826	1419
368	827	1415
369	829	1411
370	830	1408
371	832	1405
372	833	1401
373	835	1398
374	838	1398
375	840	1395
376	842	1391
377	844	1389
378	846	1386
379	847	1382
380	848	1379
381	850	1375
382	851	1372
383	853	1368
384	854	1364
385	857	1363
386	858	1359
387	859	1356
388	861	1352
389	862	1349
390	864	1345
391	865	1342
392	866	1338
393	868	1335
394	869	1331
395	870	1327
396	871	1324
397	873	1320
398	875	1318
399	877	1315
400	878	1312
401	880	1309
402	881	1305
403	882	1302
404	884	1299
405	885	1295
406	886	1292
407	888	1288
408	889	1285
409	890	1281
410	893	1280
411	895	1277
412	896	1273
413	897	1271
414	899	1267
415	900	1264
416	902	1261
417	903	1258
418	904	1254
419	906	1251
420	907	1247
421	908	1244
422	911	1242
423	912	1239
424	913	1236
425	915	1233
426	916	1230
427	918	1226
428	919	1223
429	920	1220
430	921	1217
431	923	1213
432	924	1210
433	926	1207
434	927	1204
435	930	1203
436	931	1200
437	933	1197
438	934	1194
439	935	1191
440	937	1187
441	938	1184
442	939	1181
443	941	1178
444	942	1175
445	944	1172
446	945	1169
447	947	1167
448	949	1165
449	951	1162
450	952	1159
451	954	1156
452	955	1153
453	957	1150
454	958	1147
455	959	1144
456	961	1141
457	962	1138
458	963	1136
459	966	1134
460	967	1131
461	969	1128
462	971	1126
463	973	1124
464	974	1121
465	976	1118
466	977	1115
467	979	1113
468	980	1110
469	982	1107
470	985	1107
471	987	1104
472	989	1102
473	991	1099
474	992	1097
475	994	1094
476	995	1091
477	997	1089
478	999	1087
479	1001	1084
480	1004	1084
481	1006	1081
482	1008	1079
483	1009	1076
484	1011	1073
485	1012	1071
486	1014	1068
487	1015	1065
488	1017	1063
489	1018	1060
490	1020	1057
491	1023	1057
492	1025	1054
493	1026	1051
494	1028	1049
495	1029	1046
496	1031	1043
497	1032	1041
498	1034	1038
499	1035	1035
500	1037	1033
501	1038	1030
502	1042	1030
503	1044	1028
504	1046	1025
505	1048	1023
506	1049	1020
507	1051	1018
508	1052	1015
509	1054	1012
510	1055	1010
511	1057	1007
512	1060	1006
513	1061	1003
514	1063	1001
515	1064	998
516	1066	996
517	1067	993
518	1069	990
519	1070	988
520	1072	985
521	1073	983
522	1075	980
523	1076	977
524	1078	975
525	1079	973
526	1081	970
527	1083	968
528	1084	965
529	1086	963
530	1087	960
531	1088	957
532	1090	955
533	1091	952
534	1093	950
535	1096	949
536	1098	946
537	1099	944
538	1101	941
539	1102	939
540	1104	936
541	1105	934
542	1107	931
543	1108	929
544	1110	927
545	1112	924
546	1116	924
547	1128	930
548	1130	928
549	1138	931
550	1141	930
551	1145	929
552	1148	928
553	1150	926
554	1156	927
555	1159	925
556	1161	923
557	1162	921
558	1164	918
559	1165	915
560	1167	913
561	1168	911
562	1170	908
563	1172	906
564	1174	904
565	1175	901
566	1177	899
567	1179	896
568	1181	894
569	1183	892
570	1184	890
571	1186	887
572	1188	885
573	1189	883
574	1191	880
575	1193	878
576	1196	876
577	1197	874
578	1199	872
579	1201	870
580	1203	867
581	1205	865
582	1206	863
583	1211	862
584	1213	860
585	1214	858
586	1216	855
587	1218	853
588	1220	851
589	1222	849
590	1224	847
591	1225	844
592	1228	843
593	1230	840
594	1231	838
595	1233	836
596	1234	833
597	1236	831
598	1237	828
599	1239	826
600	1240	823
601	1242	821
602	1243	818
603	1247	817
604	1248	815
605	1250	812
606	1253	811
607	1255	809
608	1257	807
609	1258	804
610	1260	802
611	1262	800
612	1263	797
613	1265	795
614	1267	793
615	1268	790
616	1270	788
617	1271	786
618	1273	783
619	1274	781
620	1276	779
621	1277	776
622	1279	774
623	1280	771
624	1282	769
625	1284	767
626	1285	764
627	1287	762
628	1288	760
629	1290	757
630	1291	755
631	1293	752
632	1294	750
633	1296	748
634	1297	745
635	1300	744
636	1302	742
637	1305	740
638	1307	738
639	1309	736
640	1311	734
641	1313	732
642	1315	730
643	1318	729
644	1321	727
645	1322	724
646	1324	722
647	1325	720
648	1327	717
649	1329	715
650	1330	713
651	1332	711
652	1333	708
653	1335	706
654	1338	705
655	1340	702
656	1341	700
657	1343	698
658	1344	695
659	1345	693
660	1347	691
661	1349	688
662	1350	686
663	1352	684
664	1353	682
665	1356	680
666	1358	678
667	1359	675
668	1361	673
669	1363	671
670	1364	669
671	1366	666
672	1367	664
673	1369	662
674	1370	659
675	1371	657
676	1375	656
677	1376	653
678	1378	651
679	1379	649
680	1381	647
681	1382	644
682	1384	642
683	1385	640
684	1387	637
685	1388	635
686	1390	633
687	1391	631
688	1393	629
689	1395	626
690	1396	624
691	1397	622
692	1399	620
693	1401	617
694	1402	615
695	1404	613
696	1405	611
697	1407	608
698	1408	606
699	1412	605
700	1414	603
701	1416	601
702	1417	598
703	1419	596
704	1420	594
705	1422	592
706	1423	590
707	1425	587
708	1426	585
709	1430	584
710	1432	582
711	1433	579
712	1435	577
713	1436	575
714	1438	573
715	1439	571
716	1441	568
717	1442	566
718	1444	564
719	1445	562
720	1448	560
721	1450	558
722	1451	556
723	1454	554
724	1456	552
725	1457	550
726	1459	547
727	1460	545
728	1462	543
729	1463	541
730	1465	539
731	1467	537
732	1469	535
733	1471	533
734	1472	531
735	1474	528
736	1475	526
737	1477	524
738	1478	522
739	1480	520
740	1482	518
741	1486	516
742	1488	514
743	1490	512
744	1491	510
745	1493	508
746	1495	506
747	1497	504
748	1498	502
749	1500	500
750	1501	497
751	1504	496
752	1506	494
753	1507	491
754	1509	489
755	1511	487
756	1512	485
757	1514	483
758	1515	481
759	1517	479
760	1518	476
761	1520	474
762	1523	473
763	1525	471
764	1526	468
765	1527	466
766	1529	464
767	1530	462
768	1532	460
769	1533	458
770	1534	455
771	1536	453
772	1537	451
773	1539	449
774	1542	447
775	1543	445
776	1545	443
777	1546	441
778	1548	439
779	1549	437
780	1551	434
781	1552	432
782	1554	430
783	1555	428
784	1556	426
785	1559	424
786	1561	422
787	1562	420
788	1564	418
789	1566	416
790	1568	414
791	1570	412
792	1571	410
793	1573	408
794	1575	406
795	1576	404
796	1578	402
797	1580	400
798	1581	397
799	1583	395
800	1585	393
801	1586	391
802	1588	389
803	1589	387
804	1591	385
805	1593	383
806	1596	381
807	1598	379
808	1600	377
809	1603	376
810	1605	374
811	1606	372
812	1608	369
813	1610	367
814	1611	365
815	1615	364
816	1617	362
817	1619	360
818	1621	358
819	1622	356
820	1624	354
821	1626	352
822	1627	350
823	1629	347
824	1631	345
825	1634	344
826	1635	342
827	1637	340
828	1639	338
829	1641	336
830	1642	334
831	1644	332
832	1645	329
833	1647	327
834	1648	325
835	1652	324
836	1653	322
837	1655	320
838	1657	317
839	1659	316
840	1660	313
841	1662	311
842	1664	309
843	1666	307
844	1667	305
845	1671	304
846	1672	302
847	1674	300
848	1675	298
849	1677	296
850	1679	293
851	1680	291
852	1682	289
853	1684	287
854	1685	285
855	1687	283
856	1690	282
857	1692	280
858	1694	278
859	1696	276
860	1697	274
861	1699	272
862	1700	269
863	1702	267
864	1704	265
865	1705	263
866	1708	262
867	1710	260
868	1712	258
869	1713	256
870	1715	254
871	1717	252
872	1718	250
873	1720	248
874	1721	245
875	1723	243
876	1726	242
877	1728	240
878	1730	238
879	1732	236
880	1734	234
881	1735	232
882	1737	230
883	1738	228
884	1740	226
885	1741	224
886	1743	222
887	1746	220
888	1748	218
889	1751	216
890	1752	214
891	1754	212
892	1755	210
893	1757	208
894	1758	206
895	1760	204
896	1762	202
897	1765	200
898	1766	198
899	1768	196
900	1770	194
901	1771	192
902	1773	190
903	1774	188
904	1776	186
905	1778	184
906	1779	182
907	1781	180
908	1785	178
909	1789	176
910	1791	175
911	1793	173
912	1795	171
913	1797	169
914	1799	167
915	1803	165
916	1805	163
917	1807	161
918	1809	159
919	1812	157
920	1814	155
921	1816	153
922	1818	151
923	1823	149
924	1833	148
925	1836	146
926	1838	144
927	1849	143
928	1852	141
929	1854	139
930	1859	137
931	1863	135
932	1865	133
933	1868	132
934	1870	130
935	1872	128
936	1874	126
937	1876	124
938	1878	122
939	1882	120
940	1884	118
941	1887	116
942	1911	115
943	1914	113
944	1916	111
945	1919	109
946	1923	107
947	1926	105
948	1928	103
949	1930	101
950	1932	99
951	1934	97
952	1936	95
953	1938	93
954	1940	91
955	1957	90
956	1961	88
957	1964	86
958	1966	84
959	1969	82
960	1971	80
961	1973	77
962	1975	75
963	1979	73
964	1981	71
965	1983	69
966	1985	67
967	1987	65
968	1991	63
969	1993	61
970	1995	59
971	1998	57
972	2000	55
973	2002	53
974	2003	51
975	2005	49
976	2007	47
977	2008	45
978	2010	43
979	2011	41
980	2013	39
981	2016	36
982	2018	34
983	2020	32
984	2021	30
985	2023	28
986	2024	26
987	2026	24
988	2028	22
989	2030	20
990	2035	18
991	2037	16
992	2040	14
993	2041	12
994	2043	10
995	2045	8
996	2047	6
997	2048	4
998	2050	2
999	2053	0
